req_id,requirement,type,priority,design_id,module,test_ids,status
REQ-001,"The system shall define a SourceConnector contract with operations discover(), fetch(), identify(), getMetadata(), getContent(), getVersion(). No core component shall reference a named source.",functional,M,DES-001,,TC-030;TC-054,implemented
REQ-002,Every connector shall emit DiscoveryRecord objects of one normalised shape regardless of source.,functional,M,DES-001;DES-003,,TC-058,implemented
REQ-003,The system shall implement GitSkillsCorpusConnector reading the CC-BY-4.0 Parquet corpus.,functional,M,DES-004;DES-060,,TC-259,implemented
REQ-004,"The system shall implement SkillsMPConnector using only the documented REST and MCP endpoints, never HTML scraping of /creators/.",functional,M,DES-005,,TC-260,implemented
REQ-005,"The system shall implement GitHubConnector resolving owner/repo + path to repository metadata, licence and content via the official API. Demoted because the corpus supplies both content and L2 licence; the SourceConnector abstraction (RE...",functional,S,DES-006,,,designed
REQ-006,"Each connector shall declare its access policy — rate limits, auth mode, permitted methods, ToS notes — as data the runtime enforces.",functional,M,DES-002;UI-008,,TC-032;TC-055,implemented
REQ-007,The system shall reject registration of a connector that declares no access policy.,functional,M,DES-002,,TC-031;TC-054,implemented
REQ-008,"Adding a new source shall require no modification to discovery, queue, parse, normalise, fingerprint, dedup or storage code. Demonstrated by two connectors of genuinely different shape (bulk corpus vs rate-limited API).",functional,M,DES-001,,TC-258,implemented
REQ-009,"Discovery shall be separable from ingestion and independently re-runnable, answering only ""what exists?"".",functional,M,DES-008,,TC-259,implemented
REQ-010,"Discovery shall be resumable from a persisted cursor after interruption, without re-emitting completed work.",functional,M,DES-008;UI-005,,TC-049,implemented
REQ-011,Re-running discovery over unchanged source state shall create no new canonical skills (idempotence).,functional,M,DES-008,,TC-259,implemented
REQ-012,"Discovery shall accept a bounded batch limit, so operators may run 100, then 1,000, then 10,000.",functional,M,DES-008;DES-067,,TC-057,implemented
REQ-013,"Discovery shall record, per run: source, parameters, start/end time, count discovered, count skipped, errors.",functional,M,DES-008;DES-048;UI-004,,TC-259,implemented
REQ-014,The system shall poll the SkillsMP RSS feed for incremental discovery.,functional,S,DES-005,,,designed
REQ-015,"Each pipeline stage shall be an independently queued job whose worker concurrency is configurable per stage, such that changing one stage's concurrency requires no change to any other stage's configuration or code.",functional,M,DES-009,,TC-075,implemented
REQ-016,Every job shall be idempotent: re-execution with identical input produces identical state and no duplicate records.,functional,M,DES-064,,TC-019;TC-040;TC-076;TC-077;TC-127;TC-190,implemented
REQ-017,"Every job shall carry job_id, skill_ref, source, attempt, status, started_at, completed_at, error.",functional,M,DES-012,,TC-085;TC-089,implemented
REQ-018,"Queue messages shall carry references (storage key, content hash, ids), never content.",functional,M,DES-069,,TC-073;TC-074,implemented
REQ-019,A failed job shall retry with exponential backoff and jitter to a configured maximum attempt count.,functional,M,DES-014,,TC-035;TC-072;TC-078;TC-082;TC-084,implemented
REQ-020,"A job exceeding maximum attempts shall move to a dead letter queue, never retry indefinitely.",functional,M,DES-013,,TC-078,implemented
REQ-021,"Dead-lettered jobs shall be listable, inspectable, and manually re-submittable.",functional,M,DES-013,,TC-080;TC-081,implemented
REQ-022,"Failure of one job shall not halt, restart or re-run the pipeline for any other job.",functional,M,DES-014,,TC-075;TC-079,implemented
REQ-023,The queue shall be provided through a port interface with a local adapter and a Cloudflare Queues adapter.,functional,M,DES-009;DES-010;DES-011,,TC-257,implemented
REQ-024,"The fetcher shall enforce per-source rate limits, concurrency caps, backoff, jitter and Retry-After.",functional,M,DES-015,,TC-136,implemented
REQ-025,The fetcher shall open a circuit breaker on repeated source failure and report it. The abstraction is defined in Phase 1 and retained for future network-based connectors; only the local-corpus path may omit an implementation.,functional,S,DES-016,,,designed
REQ-026,"The fetcher shall send a truthful, contactable User-Agent identifying AppMD, and shall never impersonate a browser or another bot.",functional,M,DES-015,,TC-279,implemented
REQ-027,"The system shall contain no mechanism for evading rate limits, bot detection, authentication or access controls.",functional,M,DES-007,,TC-278,implemented
REQ-028,The fetcher shall skip re-fetch when the source reports content unchanged (ETag / lastmod / commit sha).,functional,M,DES-015,,,designed
REQ-029,"Raw content shall be stored immutably, addressed by content hash, before any parsing. Immutability governs the provenance envelope; content bytes are subject to the retention lifecycle of REQ-098 (DEC-015, DEC-019).",functional,M,DES-017;DES-018;DES-019;DES-072;DES-073;DES-074;DES-075;DES-076,ingestion/pipeline.js,TC-209;TC-210;TC-211;TC-214;TC-219;TC-220;TC-223,implemented
REQ-030,"Each raw record shall retain: original bytes, source, source URL, retrieval timestamp, source version, content hash.",functional,M,DES-020;DES-072;DES-075;DES-079,sqlite/schema.js v3,TC-221,implemented
REQ-031,Normalisation shall never mutate or delete raw records; RAW → PARSED → CANONICAL are distinct layers.,functional,M,DES-020;DES-075;DES-076,ingestion/pipeline.js,TC-222;TC-224,implemented
REQ-032,The system shall reprocess stored raw content into canonical records without re-contacting the source.,functional,M,DES-020;DES-077,ingestion/pipeline.js,TC-067;TC-225;TC-226;TC-227;TC-237,implemented
REQ-033,"Raw content shall be treated as internal processing data, behind an access-control layer, and shall not be served publicly in Phase 1.",functional,M,DES-020;DES-072;DES-075;DES-082,ports/index.js,TC-216;TC-238,implemented
REQ-034,"Every raw record shall carry a retention rule derived from its rights posture, and shall be deletable both on request and on retention expiry, the deletion recorded as a tombstone that survives the bytes.",functional,M,DES-021;DES-022;DES-078;DES-079,sqlite/schema.js v3,TC-228;TC-229;TC-230;TC-269,implemented
REQ-035,The parser shall extract YAML frontmatter and Markdown body from SKILL.md.,functional,M,DES-023,,TC-093;TC-099;TC-106;TC-107,implemented
REQ-036,"The parser shall treat only name and description as required, and shall preserve unrecognised frontmatter keys rather than rejecting or discarding them.",functional,M,DES-023,,TC-094;TC-117,implemented
REQ-037,"The parser shall handle malformed YAML, absent frontmatter, empty files and non-UTF-8 bytes by recording a parse failure with reason — never by crashing and never by silently emitting an empty record.",functional,M,DES-024;UI-003,,TC-098;TC-172,implemented
REQ-038,"The parser shall record frontmatter_valid per the spec's stated constraints (name ≤64 chars [a-z0-9-], description non-empty ≤1024, no XML tags, reserved words).",functional,M,DES-023,,TC-095;TC-096;TC-097,implemented
REQ-039,"Normalisation shall produce a canonical record carrying mandatory attribution: repository, owner, canonical source URL. A record shall not be storable without them.",functional,M,DES-025;DES-041,,TC-111;TC-119,implemented
REQ-040,"Normalisation shall record every field as source fact or AppMD inference, with provenance, and shall never merge the two into one field.",functional,M,DES-025;DES-036,,TC-113,implemented
REQ-041,"The parser's frontmatter_valid verdict shall be comparable against the corpus's own column, and disagreements shall be reportable.",functional,M,DES-023;DES-070,,,designed
REQ-042,The system shall compute content_hash (SHA-256 over raw bytes) for every occurrence.,functional,M,DES-026,,TC-012;TC-014;TC-122,implemented
REQ-043,"The system shall compute normalised_hash (SHA-256 over normalised text: line endings, trailing whitespace, frontmatter key order).",functional,M,DES-026,,TC-013;TC-021;TC-122;TC-125;TC-196,implemented
REQ-044,Occurrences with equal content_hash shall resolve to one CanonicalSkill as EXACT_DUPLICATE.,functional,M,DES-027,,TC-020;TC-044;TC-123;TC-195,implemented
REQ-045,Deduplication shall never use name equality alone as evidence of duplication.,functional,M,DES-027,,TC-022;TC-126,implemented
REQ-046,"Every occurrence shall remain individually retrievable after deduplication, with its repository and path. Dedup collapses identity, never evidence.",functional,M,DES-027,,TC-045;TC-124;TC-128,implemented
REQ-047,"Deduplication results shall be measurable against the corpus's published verdict, reporting precision, recall and a disagreement list.",functional,M,DES-070,,TC-065;TC-131;TC-132,implemented
REQ-048,The system shall record MIRROR and FORK relationships using repository fork metadata as a distinct signal from content equality.,functional,S,DES-028,,TC-023;TC-129,implemented
REQ-049,Near-duplicate detection via semantic fingerprinting.,functional,F,DES-028,,,designed
REQ-050,"The canonical store shall hold CanonicalSkill, SkillOccurrence, Repository, Source, ProvenanceRecord, RightsPosture.",functional,M,DES-029,,TC-254,implemented
REQ-051,"The canonical store shall be the single source of truth. Search, vector and graph indexes shall be derived and rebuildable from it.",functional,M,DES-057;DES-062;DES-080,sqlite/schema.js v3,TC-255,implemented
REQ-052,"The system shall rebuild every derived index from canonical data with no source contact, demonstrated by a test that destroys and rebuilds an index.",functional,M,DES-057;DES-081;UI-002,ingestion/rebuild.js,TC-232;TC-233;TC-235;TC-268,implemented
REQ-053,The canonical schema shall be extensible: new fields shall not require rewriting existing records.,functional,M,DES-033,,TC-039,implemented
REQ-054,The store shall be provided through a port interface with a local adapter; the production adapter is chosen in DATABASE.md at G2.,functional,M,DES-029;DES-030;DES-031;DES-032,,TC-194,implemented
REQ-055,Historical versions shall never be silently overwritten; a content change creates a new version linked to its predecessor.,functional,M,DES-033,,TC-256,implemented
REQ-056,"The system shall record L1, L2 and L3 licence layers independently, each with its evidence.",functional,M,DES-038,,TC-249,implemented
REQ-057,"The system shall normalise licence identifiers to SPDX where recognised, and to UNKNOWN otherwise — never to a guess.",functional,M,DES-040,,TC-001;TC-002;TC-139,implemented
REQ-058,"Absent, unparseable or conflicting licence shall yield redistributable = false.",functional,M,DES-039,,TC-003;TC-004,implemented
REQ-059,"The system shall compute and store indexable, linkable, cacheable, redistributable, each with the layer and evidence that produced it.",functional,M,DES-039,,TC-250,implemented
REQ-060,"Where L2 and L3 conflict, both shall be retained, the conflict flagged, and the more restrictive applied for redistribution.",functional,M,DES-038,,TC-007;TC-116;TC-142,implemented
REQ-061,Every publicly exposed record shall carry attribution and canonical source URL. The API shall be incapable of emitting a record without them.,functional,M,DES-041;DES-051;UI-007,,TC-151;TC-152;TC-162,implemented
