id,date,metric,category,value,unit,source
MET-001,2026-08-27,defect_density,product,1.99,defects_per_kloc,".ilana/defects.md over 4021 executable SLOC"
MET-002,2026-08-27,defects_total,product,8,defects,.ilana/defects.md
MET-003,2026-08-27,defects_high_severity,product,5,defects,.ilana/defects.md
MET-004,2026-08-27,defects_open,product,0,defects,.ilana/defects.md
MET-005,2026-08-27,test_cases,product,318,tests,"distinct TC-001..TC-318 declared, no gaps"
MET-006,2026-08-27,test_density,product,79,tests_per_kloc,318 cases / 4021 SLOC
MET-007,2026-08-27,test_pass_rate,product,1.00,ratio,344 of 344 executions
MET-008,2026-08-27,requirement_coverage_mandatory,product,1.00,ratio,139 of 139 (packages/tools/src/traceability.js)
MET-009,2026-08-27,requirement_coverage_all,product,0.953,ratio,143 of 150
MET-010,2026-08-27,gate_first_pass_rate,process,0.60,ratio,"3 of 5 gates passed on attempt 1"
MET-011,2026-08-27,gate_attempts_total,process,7,attempts,.ilana/state.json
MET-012,2026-08-27,review_yield_pre_execution,process,8,findings,"G1-G4 review gates, before execution testing"
MET-013,2026-08-27,mean_defect_escape,process,2.9,increments,"increments between introduction and detection"
MET-014,2026-08-27,defects_caught_in_origin_increment,process,0.25,ratio,2 of 8
MET-015,2026-08-27,defects_found_by_real_data,process,0.50,ratio,"4 of 8 - no fixture would have exposed them"
MET-016,2026-08-27,change_requests,process,6,requests,.ilana/changes.md
MET-017,2026-08-27,change_requests_amending_requirements,process,3,requests,"CR-002, CR-004, CR-006"
MET-018,2026-08-27,decisions_recorded,process,39,decisions,.ilana/decisions.md
MET-019,2026-08-27,decisions_reversed_by_stakeholder,process,2,decisions,"DEC-018, DEC-019"
MET-020,2026-08-27,requirements_specified,project,150,requirements,"98 REQ + 39 NFR + 13 DOM"
MET-021,2026-08-27,design_elements,project,102,elements,"92 DES + 10 UI"
MET-022,2026-08-27,increments_delivered,project,11,increments,docs/ROADMAP.md
MET-023,2026-08-27,scope_deferred_declared,project,7,requirements,"5 priority-F + REQ-005 + REQ-014"
MET-024,2026-08-27,runtime_dependencies,project,2,packages,"parquet-wasm, apache-arrow - both quarantined, batch-only"
MET-025,2026-08-27,pipeline_throughput,product,10442,records_per_second,"canonical processing, 10000-record batch"
MET-026,2026-08-27,pipeline_memory_delta,product,119,megabytes,"10000-record ladder, NFR-014 budget 128"
MET-027,2026-08-27,api_latency_p95,product,0.02,milliseconds,"GET /skills/:id at 10000 skills"
MET-028,2026-08-27,rollback_rto_measured,product,3,milliseconds,"docs/rollback.md rehearsal, NFR-035 allows 4h"
MET-029,2026-08-27,dedup_oracle_agreement,product,1.00,ratio,"vs corpus file_sha grouping, 0 unexplained"
MET-030,2026-08-27,parser_oracle_agreement,product,0.977,ratio,"structural validity vs corpus column, n=300"
MET-031,2026-08-27,test_executions,product,344,executions,"340 > 314 because contract suites run one case against several adapters"
